customerID,fulname,Gender,Nationality,DOB,password
PB-119101,Paige Bennett,Female,Ghana,1991-06-11,
MSH-030101,Mrs. Shannon Hill,Female,Aruba,2001-01-03,
CL-050401,Candice Lambert,Male,Turks and Caicos Islands,2004-09-05,
AS-189301,Amanda Smith,Male,Cayman Islands,1993-04-18,
KA-259401,Karen Adams,Female,Syrian Arab Republic,1994-02-25,
TC-259101,Tasha Chambers,Male,Trinidad and Tobago,1991-02-25,
DT-030001,Dana Turner,Male,Pitcairn,2000-07-03,
CN-019801,Carla Nolan,Male,Timor-Leste,1998-11-01,
MC-080301,Melissa Castro,Female,Guatemala,2003-09-08,
MNWM-090401,Mrs. Nina White MD,Female,Netherlands,2004-03-09,
TS-299701,Tamara Smith,Male,Luxembourg,1997-11-29,
AK-240001,Amy Kelly,Male,Sint Maarten (Dutch part),2000-10-24,
LC-279701,Laura Curry,Female,Tajikistan,1997-05-27,
CO-070201,Charlene Olson,Male,Turks and Caicos Islands,2002-05-07,
JR-030401,Jennifer Romero,Female,Anguilla,2004-08-03,
TA-269201,Tina Atkinson,Female,United Arab Emirates,1992-02-26,
TS-019101,Taylor Smith,Female,Iceland,1991-03-01,
TH-200001,Tara Howe,Female,Liechtenstein,2000-02-20,
EC-250001,Emily Clements,Male,Cyprus,2000-02-25,
BW-249901,Beverly Watts,Male,Estonia,1999-06-24,
CT-219701,Cynthia Torres,Female,Guam,1997-02-21,
JB-159201,Jean Barron,Male,"Korea, Democratic People's Republic of",1992-03-15,
LB-119801,Leah Bell,Female,Western Sahara,1998-11-11,
HD-289101,Heidi Davis,Female,"Korea, Democratic People's Republic of",1991-06-28,
NP-210201,Nicole Peterson,Female,Honduras,2002-04-21,
SC-209601,Sarah Clark,Female,French Polynesia,1996-12-20,
TW-199601,Tammy Wilkerson,Female,Bermuda,1996-06-19,
SW-170401,Stephanie Warner,Female,Antarctica,2004-10-17,
SL-149801,Stephanie Lutz,Male,"Korea, Democratic People's Republic of",1998-06-14,
EP-260001,Elizabeth Phillips,Male,Malta,2000-06-26,
SH-010101,Shawna Hernandez,Female,Sao Tome and Principe,2001-09-01,
KW-280201,Kelly Washington,Male,New Caledonia,2002-07-28,
JB-079801,Jennifer Brewer,Male,Slovakia,1998-08-07,
JM-169401,Jennifer Moran,Female,"Virgin Islands, British",1994-07-16,
CT-199301,Claudia Thomas,Male,Åland Islands,1993-10-19,
AC-319701,Angela Cook,Male,Kazakhstan,1997-07-31,
AK-170201,Ashley Knight,Male,Chad,2002-01-17,
JH-240401,Jessica Harper,Male,French Guiana,2004-02-24,
SA-109601,Sandra Anderson,Male,Western Sahara,1996-09-10,
AW-060001,Anne Watkins,Male,United Kingdom,2000-10-06,
JH-230201,Jill Hernandez,Female,Kazakhstan,2002-07-23,
AB-100301,Amy Bautista,Male,Guadeloupe,2003-03-10,
AL-059901,Alexis Lindsey,Male,Malta,1999-11-05,
SO-300101,Stephanie Osborne,Female,Kenya,2001-08-30,
SC-089501,Sarah Chavez,Male,Uzbekistan,1995-03-08,
PH-139901,Patty Hood,Female,United States,1999-04-13,
KS-270201,Kelsey Smith,Female,Martinique,2002-08-27,
JO-270001,Jessica Olson,Female,Northern Mariana Islands,2000-07-27,
MM-149301,Monica Moore,Female,Guernsey,1993-06-14,
JC-269501,Jacqueline Cruz,Female,Wallis and Futuna,1995-01-26,
NG-070301,Nancy Gonzalez,Female,Myanmar,2003-09-07,
CH-059801,Carmen Harmon,Female,British Indian Ocean Territory,1998-05-05,
KL-040001,Kristin Lowery,Male,Bosnia and Herzegovina,2000-12-04,
DCM-050201,Diana Cantu MD,Male,Sweden,2002-05-05,
CS-189301,Colleen Santiago,Female,Azerbaijan,1993-07-18,
CS-130001,Casey Smith,Male,Cameroon,2000-03-13,
JP-090301,Jordan Perry,Female,"Korea, Republic of",2003-11-09,
RR-169701,Rebecca Rodriguez,Male,Marshall Islands,1997-04-16,
AO-179701,Alexandra Odonnell,Male,Algeria,1997-05-17,
SR-169201,Shannon Roach,Male,Switzerland,1992-04-16,
